tamanho_medio,imagem
147.74012831791808,Imagem_1
131.1507198596847,Imagem_1
86.93830138341852,Imagem_1
132.88790714622735,Imagem_1
78.43655703917852,Imagem_1
18.948708441878455,Imagem_1
204.5473206122632,Imagem_1
65.93539584698202,Imagem_1
153.76003540066864,Imagem_1
180.10200535193056,Imagem_1
132.24921552226525,Imagem_1
32.8152760914755,Imagem_1
187.95897863035583,Imagem_1
93.99303639648583,Imagem_1
43.98146403132684,Imagem_1
83.12754849725759,Imagem_1
96.3493099127548,Imagem_1
79.44662820496781,Imagem_1
92.00961761111768,Imagem_1
210.3398345781027,Imagem_1
37.62768095093692,Imagem_1
99.05504652270548,Imagem_1
173.70443497830988,Imagem_1
90.75388864949856,Imagem_1
46.30137237110613,Imagem_1
150.34990813840918,Imagem_1
195.1680110319909,Imagem_1
168.04422499090825,Imagem_1
29.790064831759068,Imagem_1
72.00659508717078,Imagem_1
64.79097760484736,Imagem_1
149.35154362849858,Imagem_1
39.44084702158646,Imagem_1
116.36675155792844,Imagem_1
160.14439587393628,Imagem_1
126.30918337721043,Imagem_1
285.94561910230885,Imagem_1
95.41478425664755,Imagem_1
51.597905849377504,Imagem_1
262.68160494692285,Imagem_1
227.57690271929187,Imagem_1
148.41403509787116,Imagem_1
69.39761219206864,Imagem_1
75.98358188188811,Imagem_1
141.3945095519325,Imagem_1
34.44792091974742,Imagem_1
108.5636226170038,Imagem_1
43.413279490200054,Imagem_1
124.35997800790113,Imagem_1
107.13067374119682,Imagem_1
70.53949348290655,Imagem_1
127.6054161379203,Imagem_1
80.87810680942587,Imagem_1
4.478115991081385,Imagem_1
48.817887273601265,Imagem_1
206.51265544946747,Imagem_1
97.27649405931389,Imagem_1
80.62977809356629,Imagem_1
229.3005567148164,Imagem_1
62.43924635979416,Imagem_1
38.28598994248883,Imagem_1
99.00361773822948,Imagem_1
